"id","country_code","petrol_cost","diesel_cost","lpg_cost","motorway_pattern","trunk_pattern"
"1","AL","1.161","1.153","0.402","A\d.*","SH\d.*"
"2","AD","1.057","0.898","2.000","100%","100%"
"3","AT","1.068","1.018","0.659","[AS]\d.*","(\d)|(\d\d)|(\d\d\d)"
"4","BY","0.535","0.553","0.279","M\d.*","P\d.*"
"5","BE","1.360","1.276","0.455","A\d.*","N\d.*"
"6","BA","1.097","1.071","0.434","A\d.*","M\d.*"
"7","BG","1.021","1.001","0.452","A\d.*","(\d)|(\d\d)"
"8","HR","1.212","1.137","0.531","A\d.*","(\d)|(\d\d)|(\d\d\d)"
"9","CY","1.144","1.139","2.000","A\d.*","B\d.*"
"10","CZ","1.030","1.033","0.472","[DR]\d.*","(\d)|(\d\d)|(\d\d\d)"
"11","DK","1.489","1.301","2.000","E\d.*","(\d)|(\d\d)"
"12","EE","1.027","1.037","0.519","100%","(\d)|(\d\d)"
"13","FI","1.399","1.291","2.000","\d{1}|1[012]","\d{2}"
"14","FR","1.326","1.176","0.703","A\d.*","N\d.*"
"15","DE","1.309","1.139","0.539","A\d.*","B\d.*"
"16","GI","1.081","1.043","2.000","100%","100%"
"17","GB","1.338","1.363","0.654","M\d.*","A\d.*"
"18","GR","1.458","1.129","0.698","A\d.*","(\d)|(\d\d)"
"19","HU","1.077","1.121","0.611","M\d.*","(\d)|(\d\d)"
"20","IS","1.611","1.552","2.000","1","\d{2}"
"21","IE","1.299","1.199","0.619","M\d.*","N\d.*"
"22","IT","1.499","1.347","0.560",[AT]\d.*","SS\d.*"
"23","LV","1.096","0.984","0.535","100%","A\d.*"
"24","LI","1.855","1.576","0.649","100%","100%"
"25","LT","1.069","0.979","0.540","A[12]","A\d.*"
"26","LU","1.128","0.986","0.464","[AB]\d.*","(\d)|(\d\d)"
"27","MK","0.972","0.761","0.462","A[12]","A\d.*"
"28","MT","1.270","1.140","2.000","100%","100%"
"29","MD","0.736","0.640","0.457","100%","M\d.*"
"30","MC","1.530","1.360","2.000","100%","100%"
"31","ME","1.080","0.950","0.600","100%","M\d.*"
"32","NL","1.620","1.294","0.794","A\d.*","N\d.*"
"33","NO","1.693","1.548","0.700","E\d.*","[123]|([123]\d)|([123]\d\d)"
"34","PL","0.947","0.927","0.471","[AS]\d.*","(\d)|(\d\d)"
"35","PT","1.494","1.264","0.583","A\d.*","(I[CP])|(N)\d.*"
"36","RO","1.126","1.104","0.438","A\d.*","\d.*"
"37","RU","0.557","0.517","0.285","M\d.*","A\d.*"
"38","SM","1.420","1.240","0.520","100%","100%"
"39","RS","1.102","1.136","0.597","A\d.*","(\d)|(\d\d)|(\d\d\d)"
"40","SK","1.123","0.960","0.419","[DR]\d.*","(\d)|(\d\d)"
"41","SI","1.206","1.110","0.615","A\d.*","[H\d]|([H\d]\d)|([H\d]\d\d)"
"42","ES","1.172","1.074","0.553","[A(AP)R]\d.*","N\d.*"
"43","SE","1.303","1.314","0.911","E\d.*","(\d)|(\d\d)"
"44","CH","1.269","1.297","0.788","A\d.*","(\d)|(\d\d)"
"45","TR","1.319","1.149","0.430","O-\d.*","D\d.*"
"46","UA","0.868","0.766","0.467","M\d.*","[HN]\d.*"
"47","VA","2.000","2.000","2.000","100%","100%"
