"id","name","road_nr","latitude","longitude","country_code","cost"
"1","Bosrucktunnel","A9","47.616253","14.348729","AT","5"
"2","Gleinalm Tunnel","A9","47.269240","15.104710","AT","8.5"
"3","Katschbergtunnel","A10","47.057005","13.591474","AT","5.5"
"4","Tauerntunnel","A10","47.206409","13.426809","AT","5.5"
"5","Innsbruck_Zenzenhof","A13","47.235147","11.391820","AT","1"
"6","Zenzenhof_Patsch","A13","47.218430","11.394433","AT","1"
"7","Patsch_Stubaital","A13","47.188423","11.401855","AT","1"
"8","Stubaital_Matrei","A13","47.155431","11.441384","AT","1.5"
"9","Matrei_Brennerpass","A13","47.062585","11.479842","AT","4.5"
"10","Arlberg Strassentunnel","S16","47.126089","10.211083","AT","9.5"
"11","Karawankentunnel","A11","46.509720","14.021022","AT","7.2"
"12","M6_1120","M6","53.549542","23.760146","BY","0.44"
"13","M6_1121","M6","53.616078","23.971535","BY","0.55"
"14","M6_1111","M6","53.635885","24.024578","BY","0.12"
"15","M6_1112","M6","53.594873","24.145546","BY","0.59"
"16","M6_1113","M6","53.577792","24.380229","BY","0.73"
"17","M6_1114","M6","53.604894","24.598475","BY","0.48"
"18","M6_184","M6","53.621894","24.712726","BY","0.11"
"19","P99PB_1104","P99","53.117623","23.942750","BY","0.26"
"20","P99_1103","P99","53.118080","24.034246","BY","0.24"
"21","P99_1102","P99","53.128826","24.145810","BY","0.38"
"22","P99_1101","P99","53.138488","24.304902","BY","0.45"
"23","P99_1100","P99","53.141088","24.672322","BY","0.8"
"24","P99_1099","P99","53.138720","24.927819","BY","0.54"
"25","P99_1098","P99","53.110225","25.170999","BY","0.69"
"26","P99_1097","P99","53.058958","25.295763","BY","0.26"
"27","P99_1096","P99","53.055224","25.381229","BY","0.18"
"28","P99_1095","P99","53.047253","25.571644","BY","1.03"
"29","P99_1094","P99","53.035209","25.802826","BY","0.21"
"30","M1_1","M1","52.142497","23.649311","BY","0.35"
"31","M1_2","M1","52.151210","23.686777","BY","0.03"
"32","M1_3","M1","52.139441","23.773572","BY","0.47"
"33","M1_4","M1","52.121481","23.875678","BY","0.14"
"34","M1_5","M1","52.143076","23.987086","BY","0.45"
"35","M1_6","M1","52.176268","24.160206","BY","0.65"
"36","M1_7","M1","52.190747","24.310968","BY","0.16"
"37","M1_8","M1","52.195811","24.411363","BY","0.36"
"38","M1_9","M1","52.266820","24.518754","BY","0.63"
"39","M1_10","M1","52.394781","24.783885","BY","1.32"
"40","M1_11","M1","52.530081","25.045830","BY","0.55"
"41","M1_12","M1","52.646782","25.243305","BY","0.89"
"42","M1_13","M1","52.780100","25.549529","BY","1.06"
"43","M1_14","M1","52.954463","25.720718","BY","1.03"
"44","M1_15","M1","53.101060","25.887101","BY","0.49"
"45","M1_16","M1","53.164968","25.987003","BY","0.32"
"46","M1_17","M1","53.272403","26.302549","BY","1.59"
"47","M1_18","M1","53.410693","26.563582","BY","0.37"
"48","M1_19","M1","53.487315","26.635562","BY","0.41"
"49","M1_20","M1","53.534560","26.772698","BY","0.47"
"50","M1_21","M1","53.552372","26.962942","BY","0.57"
"51","M1_22","M1","53.627530","27.057452","BY","0.28"
"52","M1_23","M1","53.661340","27.138519","BY","0.29"
"53","M1_24","M1","53.693261","27.374350","BY","0.95"
"54","M1_25","M1","53.760126","27.667505","BY","0.82"
"55","M1_26","M1","53.869259","27.919718","BY","0.83"
"56","M1_27","M1","53.969924","28.043851","BY","0.39"
"57","M1_28","M1","53.993747","28.119758","BY","0.07"
"58","M1_29","M1","54.049056","28.424006","BY","1.51"
"59","M1_30","M1","54.224867","28.630525","BY","0.46"
"60","M1_31","M1","54.290415","28.845617","BY","0.85"
"61","M1_32","M1","54.355065","29.134695","BY","0.88"
"62","M1_33","M1","54.417372","29.516792","BY","1.17"
"63","M1_34","M1","54.473457","29.875897","BY","0.54"
"64","M1_35","M1","54.511917","30.133936","BY","0.88"
"65","M1_36","M1","54.582872","30.334061","BY","0.7"
"66","M1_37","M1","54.637410","30.548633","BY","0.6"
