"id","road_nr","country_code"
"1","all","AL"
"2","A1","AT"
"3","A2","AT"
"4","A3","AT"
"5","A4","AT"
"6","A5","AT"
"7","A6","AT"
"8","A7","AT"
"9","A8","AT"
"10","A9","AT"
"11","A10","AT"
"12","A11","AT"
"13","A12","AT"
"14","A13","AT"
"15","A14","AT"
"16","A21","AT"
"17","A22","AT"
"18","A23","AT"
"19","A25","AT"
"20","S1","AT"
"21","S2","AT"
"22","S3","AT"
"23","S4","AT"
"24","S5","AT"
"25","S6","AT"
"26","S16","AT"
"27","S31","AT"
"28","S33","AT"
"29","S35","AT"
"30","S36","AT"
"31","S37","AT"
"32","all","BG"
"33","D1","CZ"
"34","D2","CZ"
"35","D3","CZ"
"36","D5","CZ"
"37","D8","CZ"
"38","D11","CZ"
"39","R1","CZ"
"40","R4","CZ"
"41","R6","CZ"
"42","R7","CZ"
"43","R10","CZ"
"44","R35","CZ"
"45","R43","CZ"
"46","R46","CZ"
"47","R48","CZ"
"48","R52","CZ"
"49","R55","CZ"
"50","R56","CZ"
"51","R63","CZ"
"52","M0","HU"
"53","M1","HU"
"54","M2","HU"
"55","M3","HU"
"56","M5","HU"
"57","M6","HU"
"58","M7","HU"
"59","M8","HU"
"60","M9","HU"
"61","M15","HU"
"62","M19","HU"
"63","M30","HU"
"64","M35","HU"
"65","M43","HU"
"66","M60","HU"
"67","M70","HU"
"68","M86","HU"
"69","all","MD"
"70","all","RO"
"71","D1","SK"
"72","D2","SK"
"73","D3","SK"
"74","D4","SK"
"75","R1","SK"
"76","R6","SK"
"77","A1","SI"
"78","A2","SI"
"79","A3","SI"
"80","A4","SI"
"81","A5","SI"
"82","H1","SI"
"83","H2","SI"
"84","H3","SI"
"85","H4","SI"
"86","H5","SI"
"87","H6","SI"
"88","H7","SI"
"89","A1","CH"
"90","A1a","CH"
"91","A1.1","CH"
"92","A2","CH"
"93","A3","CH"
"94","A4","CH"
"95","A4a","CH"
"96","A5","CH"
"97","A6","CH"
"98","A7","CH"
"99","A8","CH"
"100","A9","CH"
"101","A10","CH"
"102","A12","CH"
"103","A13","CH"
"104","A14","CH"
"105","A16","CH"
"106","A19","CH"
"107","A21","CH"
"108","A28","CH"
"109","A50","CH"
"110","A51","CH"
"111","A52","CH"
"112","A53","CH"
"113","all","UA"
